,Itr0_time,Itr0_acc,Itr0_conf,Itr0_aclabel
142,0.003598809242248535,0.75,[0.95443344 0.4854568  0.8846571  0.31581768],[1 3 6 4]
143,0.003590404987335205,0.5,[0.42767563 0.28961632 0.25670722 0.80005646],[0 2 9 3]
144,0.003589451313018799,0.25,[0.27620503 0.5224257  0.49315414 0.5874577 ],[6 3 4 6]
145,0.003572225570678711,0.25,[0.9824927  0.49408683 0.40185684 0.69320375],[2 4 5 3]
146,0.0035861730575561523,0.0,[0.30137596 0.5354882  0.8015652  0.44000286],[0 1 1 8]
147,0.003582000732421875,0.0,[0.28950182 0.46852025 0.4573019  0.31242585],[1 8 1 0]
148,0.0035671591758728027,0.25,[0.5112566  0.26943904 0.42834866 0.23294972],[7 8 2 3]
149,0.0035709142684936523,0.25,[0.4659867  0.677174   0.47630227 0.48156914],[2 6 2 1]
150,0.0035884976387023926,0.5,[0.55374277 0.33613288 0.30300716 0.6631422 ],[1 1 5 4]
151,0.003576338291168213,0.5,[0.8472537  0.1974872  0.6611788  0.24711365],[8 0 7 3]
152,0.003589928150177002,0.5,[0.62371933 0.5929848  0.86079955 0.6728142 ],[2 1 8 8]
153,0.0035849809646606445,0.5,[0.38122457 0.85009074 0.5665512  0.32835644],[5 6 2 0]
154,0.0035876035690307617,0.25,[0.78304577 0.26530632 0.38895226 0.27542913],[2 4 1 6]
155,0.0035576224327087402,0.5,[0.35156733 0.49338758 0.8588115  0.3017901 ],[2 3 9 4]
156,0.0035904645919799805,0.5,[0.2953807  0.8062562  0.21421732 0.54641116],[2 2 2 9]
157,0.003570079803466797,0.25,[0.3369685  0.42718974 0.3289893  0.24617164],[0 3 4 9]
158,0.0036001205444335938,0.5,[0.59448653 0.49643132 0.5224029  0.41116434],[3 1 1 8]
159,0.0035868287086486816,0.25,[0.53319514 0.5993549  0.30650428 0.50442827],[9 5 4 1]
160,0.003625333309173584,0.5,[0.31441462 0.7653396  0.9010552  0.17869464],[0 8 0 2]
161,0.0036308765411376953,0.5,[0.32154295 0.46683836 0.55589163 0.46949783],[8 2 7 7]
162,0.0036028623580932617,0.25,[0.6436008  0.59498906 0.32892993 0.30022347],[3 9 8 5]
163,0.0035878419876098633,0.25,[0.81158787 0.3420724  0.34942186 0.7360616 ],[7 1 2 6]
164,0.0035926103591918945,0.25,[0.4400026  0.18194236 0.34286177 0.5076102 ],[3 4 9 5]
165,0.003581225872039795,0.25,[0.34405136 0.81156486 0.5136766  0.18841028],[9 6 9 5]
166,0.0036073923110961914,0.0,[0.44866842 0.7871369  0.42304668 0.19970027],[1 9 8 6]
167,0.0035976171493530273,0.25,[0.9642709  0.4671936  0.31717274 0.38026688],[2 3 4 8]
168,0.003788471221923828,0.0,[0.3122857  0.17600776 0.5818892  0.39859134],[5 2 3 6]
169,0.0035646557807922363,0.25,[0.26272672 0.36161458 0.48130682 0.46368772],[5 9 6 1]
170,0.003614664077758789,0.75,[0.43717378 0.5607453  0.51460576 0.6625145 ],[8 4 8 9]
171,0.0035902857780456543,0.25,[0.20913665 0.9034307  0.56282806 0.2742247 ],[1 8 5 7]
172,0.0037775039672851562,0.5,[0.9575551  0.52531576 0.28673694 0.84005654],[7 3 7 0]
173,0.003832101821899414,0.25,[0.47718138 0.22065036 0.3689108  0.8391684 ],[4 6 5 9]
174,0.0036467909812927246,0.0,[0.64458644 0.38752884 0.85541564 0.34412292],[3 8 1 1]
175,0.0035992860794067383,0.0,[0.4490314  0.33263746 0.6033579  0.28969815],[7 9 1 7]
